181506940,54331
181506941,49350
181506942,54109
181506943,49318
181506944,49320
181506945,49340
181506946,49310
181506947,49277
181506948,52048
181506949,57958
181506950,4729
181506951,58944
181506952,56821
181506953,50510
181506954,52289
181506955,56903
181506956,51807
181506957,54786
181506958,53995
181506959,60661
181506960,53114
181506961,
181506962,56179
181506963,52021
181506964,56373
181506965,50722
181506966,54131
181506967,
181506968,56001
181506969,59587
181506970,
181506971,332
181506972,54877
181506973,54260
181506974,54070
181506975,
181506976,56265
181506977,56498
181506978,50484
181506979,
181506980,50135
181506981,59004
181506982,
181506983,54688
181506984,
181506985,
181506986,51100
181506987,
181506988,53426
181506989,56923
181506990,
181506991,51371
181506992,53104
181506993,51937
181506994,53398
181506995,54840
181506996,55434
181506997,56902
181506998,49468
181506999,58470
181507000,58539
181507001,50187
181507002,51024
181507003,
181507004,58691
181507005,
181507006,59453
181507007,
181507008,57716
181507009,54277
181507010,50811
181507011,58162
181507012,50834
181507013,
181507014,53090
181507015,
181507016,57298
181507017,57370
181507018,
181507019,
181507020,50901
181507021,54510
181507022,50123
181507023,57020
181507024,54784
181507025,52373
181507026,58120
181507027,52424
181507028,566
181507029,55159
181507030,49886
181507031,51998
181507032,52585
181507033,58066
181507034,
181507035,55956
181507036,56678
181507037,54652
181507038,57311
181507039,50963
181507040,57405
181507041,50344
181507042,60401
181507043,57316
181507044,59529
181507045,51932
181507046,54949
181507047,57015
181507048,57890
181507049,50285
181507050,57973
181507051,50920
181507052,51348
181507053,57731
181507054,56780
181507055,60110
181507056,57451
181507057,52329
181507058,
181507059,54956
181507060,52305
181507061,55618
181507062,59012
181507063,58199
181507064,56832
181507065,52240
181507066,55655
181507067,54768
181507068,54065
181507069,49608
181507070,58696
181507071,58159
181507072,52492
181507073,55729
181507074,60847
181507075,50477
181507076,54748
181507077,51554
181507078,57465
181507079,55799
181507080,56417
181507081,56795
181507082,54849
181507083,54067
181507084,55850
181507085,57656
181507086,52440
181507087,59303
181507088,61116
181507089,55015
181507090,50068
181507091,52158
181507092,51762
181507093,55114
181507094,49814
181507095,56843
181507096,57014
181507097,53544
181507098,55248
181507099,58269
181507100,57113
181507101,59747
181507102,52889
181507103,50788
181507104,56895
181507105,58329
181507106,51081
181507107,53764
181507108,52254
181507109,52429
181507110,51094
181507112,52360
181507113,52055
181507114,60725
181507115,50186
181507116,56261
181507117,55544
181507118,431
181507119,56338
181507120,58177
181507121,54000
181507122,59632
181507123,55706
181507124,54599
181507125,53636
181507126,51790
181507127,49486
181507128,51689
181507129,50354
181507130,54080
181507131,55106
181507132,52126
181507133,40560
181507134,48862
181507135,52829
181507136,51549
181507137,48692
181507138,56265
181507139,55116
